,Name,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds,Fraction In Seconds
T-test,Resumption Lag's Stats BTW Assessment and Testing ToH Control Comparison,,3.748222041141804,59.0,greater,0.00020372867157818938,[2.52  inf],0.44494004437271073,120.648,0.960940992068245,30.583913316666667,11.26394182135304,26.0343254,8.873934313219799,4.549587916666667,0.14875754680442985
T-test,Interruption Lag's Stats BTW Assessment and Testing ToH Control Comparison,,5.002429936338546,59.0,greater,2.700254027088992e-06,[3.05  inf],0.583447985175422,6500.953,0.9976130234448036,24.7827625,8.644251384691199,20.209791166666665,6.789155491868624,4.572971333333335,0.1845222595073223
T-test,Accuracies' Stats BTW Assessment and Testing ToH Control Comparison,,8.696304982550894,59.0,greater,1.837966006656571e-12,[20.49   inf],1.3844050164610016,4.741e+09,1.0,70.92316849816851,23.51122309313781,45.563240740740746,10.351633221017861,25.359927757427762,25.359927757427762
T-test,Speed's Stats BTW Assessment and Testing ToH Control Comparison,,8.478548843575131,59.0,greater,4.264902865050486e-12,[149.81    inf],0.9592428308792991,2.11e+09,0.9999999999999458,520.39146184,243.76135315486616,333.80190569,122.44718862943914,186.58955615000002,0.35855614442684497
0,Stats BTW Interventional H1 and Comparison H1 Across Conditions,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Interventional H1 and Comparison H1,,-0.17087700850793125,118.0,greater,0.5676934314886897,[-6.24   inf],0.03119773070626538,0.394,0.03478084785692226,7.973910533333334,18.127891037461065,8.557272183333334,18.947785165350574,-0.5833616499999996,-0.07315879047819426
T-test,Interruption Lag's Stats BTW Interventional H1 and Comparison H1,,1.3080335234170164,118.0,greater,0.0967021726768237,[-0.58   inf],0.2388131555828206,0.84,0.36530265958038166,7.041644880000001,9.015799298061525,4.868383733333333,9.032399297868766,2.1732611466666674,0.3086297567830014
T-test,Accuracy's Stats BTW Interventional H1 and Comparison H1,,2.218655885939165,118.0,greater,0.014211623764882038,[2.54  inf],0.4050692920234966,3.504,0.7126194808543694,18.847192714692714,31.76060928252707,8.78563492063492,14.305933089947434,10.061557794057794,10.061557794057794
T-test,Path Errors in Supportive vs Alternative (H1),,1.7930258478231975,58.0,greater,0.039091713292698546,[0.06  inf],0.46295728319591184,1.993,0.5506096404685539,1.1777777777777776,1.8129847159441015,0.31111111111111106,1.867724567951173,0.8666666666666665,0.8666666666666665
T-test,ToH Optimality in Supportive vs Alternative (H1),,2.5513777046113546,58.0,greater,0.006694493147830278,[6.64  inf],0.6587628906563121,7.488,0.809642126064387,36.51660765160765,37.27960893020066,17.26015873015873,16.192465546976024,19.25644892144892,19.25644892144892
T-test,Speed's Stats BTW Interventional H1 and Comparison H1,,0.8709377483570424,118.0,greater,0.19277829164281524,[-25.65    inf],0.15901075031930334,0.548,0.21801789115902714,128.53114827166667,196.01222013585962,100.14074650333333,155.79624686856945,28.390401768333334,0.22088343681740605
0,Stats BTW Interventional H2 and Comparison H2 Across Conditions,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Interventional H2 and Comparison H2,,-0.7800682315648507,118.0,less,0.21845631212511807,[-inf 2.31],0.14242032227374407,0.512,0.19235441593862912,7.611039250000001,14.581215449745761,9.66107135,13.959580777192551,-2.0500320999999992,-0.2693498263065716
T-test,Interruption Lag's Stats BTW Interventional H2 and Comparison H2,,-1.0064082151088738,118.0,less,0.15813927215273807,[-inf 1.45],0.1837441604912139,0.614,0.25971892864197227,3.1485959083333332,13.104971398064176,5.384001866666667,10.924398271860436,-2.2354059583333337,-0.7099691492378949
T-test,Accuracies Lag's Stats BTW H2 and H2 Experimental Intervention,,-0.4476941434067875,118.0,less,0.3275973816439701,[-inf  4.8],0.08173739373561674,0.426,0.11512376601000836,15.559895706145706,19.02124833906124,17.33540394790395,23.794189773346247,-1.7755082417582422,-1.7755082417582422
T-test,Speeds Lag's Stats BTW H2 and H2 Experimental Intervention,,-0.8078052511650241,118.0,less,0.21041408094257918,[ -inf 19.06],0.1474843860447367,0.522,0.19998494643169745,87.68074244833333,97.77143674956365,105.79200014833333,141.76860815988329,-18.111257699999996,-0.2065591279712557
0,Metrics Stats BTW Assessment and Testing Within H1 across both Conditions,,,,,,,,,,,,,,,
